1000	1.11957	1.09633	0.58160 0.96101 2.6645
2000	2.26064	1.94091	1.20773	1.99957	5.2081
3000	3.39577	2.9072	1.73258	2.33265	7.78686
4000	4.50972	3.98795	2.34841	2.31699	10.4807
5000	5.61291	4.82486	2.8407	2.81972	7.87253
6000	5.21197	5.54685	3.41035	3.45116	9.26508
7000	4.58519	4.42383	3.95712	3.97463	10.871
8000	5.21912	4.6214	4.56494	4.54395	12.4126
9000	5.94937	5.17144	5.08344	5.11683	14.006
10000	6.58523	5.75183	5.67343	5.63142	15.4237
11000	7.26865	6.36386	6.2325	6.21855	16.9863
12000	7.90116	7.02151	6.84046	6.76762	18.5775
13000	8.55008	7.4587	7.4518	7.39845	20.1802
14000	9.22853	8.07811	7.95566	7.99767	21.9346
15000	9.92004	8.637	8.49243	8.63277	23.249
16000	10.5211	9.29415	9.05805	9.00924	24.7321
17000	11.1425	9.84409	9.65539	9.63303	26.2733
18000	11.8165	10.3659	10.2011	10.1205	27.8302
19000	12.492	10.9149	10.7585	10.8025	29.3281
20000	13.1877	11.4847	11.318	11.2915	30.923
21000	13.9502	12.0482	12.0312	11.8918	32.4194
22000	14.5008	12.8113	12.4663	12.4772	34.2648
23000	15.1526	13.3483	13.0968	12.9473	35.6326
24000	15.7829	13.7805	13.6227	13.5494	37.1086
25000	16.4821	14.3649	14.2631	14.1712	38.7333
26000	17.1009	14.9598	14.7693	14.7511	40.2224
27000	18.0293	15.7045	15.6348	15.5873	41.9626
28000	18.4634	16.2149	15.8444	15.9581	43.4976
29000	19.1542	16.963	16.5558	16.7621	45.4062
30000	19.9074	17.4817	17.0769	17.2383	46.612
